id,tau_days,p_days,tau_length,p_length,tau,p,lon,lat,p_days_adj,p_length_adj,p_number_adj,days_sig,length_sig,num_sig
02629,0.5839429497718811,2.6226043701171875e-6,0.5101956129074097,1.1241436004638672e-4,0.4287649393081665,0.0025436878204345703,6.0954,51.7612,3.6466121673583984e-4,0.005980443954467774,0.05050645934210884,1,1,0
02638,0.5235488414764404,5.841255187988281e-5,0.4680255055427551,3.6275386810302734e-4,0.2673935294151306,0.058794617652893066,8.7548,48.1054,0.0011392831802368164,0.008586003230168268,0.15958539077213832,1,1,0
02667,0.37989816069602966,0.002413153648376465,0.2598929703235626,0.0483318567276001,0.24997320771217346,0.07696127891540527,7.1575,50.8645,0.006756830215454101,0.0945314256583943,0.191536488934098,1,0,0
02680,0.31782084703445435,0.011467456817626953,0.18281811475753784,0.16928637027740479,0.05385837331414223,0.7160696983337402,10.4456,50.284,0.021036851817163926,0.22515087246894838,0.7903507873725101,1,0,0
02700,0.3131346106529236,0.01293480396270752,0.17859376966953278,0.18785881996154785,0.1440759003162384,0.32387781143188477,11.4872,48.8302,0.022849947214126587,0.24375827370620357,0.43954845837184364,1,0,0
02704,0.3948810398578644,0.002680182456970215,0.41795772314071655,0.0020543336868286133,0.4609985649585724,0.0016357898712158203,12.0094,51.7511,0.007201298318728052,0.015179243352678088,0.05050645934210884,1,1,0
02712,0.30552151799201965,0.01595282554626465,0.25702744722366333,0.04910385608673096,0.1645376831293106,0.2471306324005127,9.1307,47.6952,0.027201612790425617,0.09534033371584259,0.36592220465342207,1,0,0
02750,0.23459869623184204,0.06458139419555664,0.05830385535955429,0.6675713062286377,0.012504495680332184,0.943985104560852,11.3209,50.2524,0.08258966757700993,0.7018733891573818,0.9847060306399477,0,0,0
02794,0.29596737027168274,0.018613815307617188,0.33946186304092407,0.011438250541687012,0.28760337829589844,0.0452345609664917,12.4093,52.9362,0.030190700437964464,0.04225798116789924,0.13369325796763104,1,1,0
02812,0.4618033468723297,2.932548522949219e-4,0.33907437324523926,0.010746121406555176,0.15538300573825836,0.2867234945297241,7.828,48.3647,0.002295220599454992,0.04173911827197973,0.40398054122924804,1,1,0
02814,0.4990817606449127,8.237361907958984e-5,0.4382658302783966,0.00090885162353515625,0.3183947205543518,0.026625514030456543,9.7644,48.5122,0.0012683868408203125,0.01208772659301758,0.1041527460603153,1,1,0
02878,0.15666988492012024,0.29973864555358887,0.13781236112117767,0.39409077167510986,0.428359717130661,0.013021349906921387,11.8786,51.3909,0.32810897002985445,0.44231284922185327,0.0962133076455858,0,0,0
02907,-0.07993113994598389,0.5437490940093994,-0.006488993763923645,0.9743539094924927,0.05960511043667793,0.6972675323486328,8.9514,54.7903,0.5739573770099217,0.9930196931992453,0.7728048483530681,0,0,0
02925,0.33343157172203064,0.008054614067077637,0.3207777738571167,0.015308380126953125,0.2738267183303833,0.057024598121643066,10.3123,51.3932,0.016108986157089916,0.048735577484657025,0.1563767329933717,1,1,0
02928,0.29253241419792175,0.018994688987731934,0.2443237155675888,0.06604659557342529,0.26977306604385376,0.056122422218322754,12.4462,51.3151,0.030621741034767842,0.11712262948354087,0.15550587822993597,1,0,0
02932,0.3444971740245819,0.0062465667724609375,0.281470388174057,0.03706073760986328,0.33221176266670227,0.01988506317138672,12.2396,51.4347,0.01399995298946605,0.08080455905101339,0.09918069070385348,1,0,0
02947,0.13234825432300568,0.2953002452850342,0.03606613352894783,0.793350338935852,0.1688801348209381,0.23867392539978027,8.0348,51.1333,0.3245862200240458,0.8179503494454909,0.3607230917973952,0,0,0
02968,0.4083600342273712,0.0011627674102783203,0.35020315647125244,0.007991194725036621,0.2848556339740753,0.04406094551086426,6.9777,50.9894,0.004909462398952908,0.03664927235965071,0.13369325796763104,1,1,0
03015,0.235561341047287,0.061031341552734375,0.06711103022098541,0.6206210851669312,0.029792580753564835,0.8469692468643188,14.118,52.2085,0.07842674808225769,0.6577099946390584,0.9121207273923433,0,0,0
